name,description,tags
City Palace,"A grand complex of courtyards, gardens, and museums overlooking Lake Pichola, showcasing royal Rajasthani architecture.","Photography, History/Culture, Shopping"
Jallianwala Bagh,"A historic memorial garden marking the 1919 massacre, preserved as a symbol of sacrifice and India’s freedom struggle.","History/Culture, Photography"
India Gate,"A towering war memorial built to honor Indian soldiers of World War I, surrounded by lawns and evening lights.","Photography, History/Culture, Nightlife (evening crowd)"
Fort Kochi,"A coastal heritage area known for its Chinese fishing nets, colonial buildings, art cafés, and vibrant cultural fusion.","Photography, Foodie, Beach, History/Culture"
Lalbagh Botanical Garden,"A 240-acre garden with rare plants, glasshouses, and serene walking trails — perfect for nature lovers.","Photography, Hiking (light walking trails)"
Hawa Mahal,"The “Palace of Winds,” a five-story pink sandstone structure with 953 windows built for royal women to observe street festivals.","Photography, History/Culture, Shopping"
Gateway of India,"An iconic seafront monument built during the British Raj, facing the Arabian Sea and opposite the Taj Hotel.","Photography, Foodie, Nightlife"
Humayun's Tomb,"A stunning Mughal-era tomb and UNESCO site, known for its Persian-style gardens and red sandstone architecture.","Photography, History/Culture"
Sabarmati Ashram,"Mahatma Gandhi’s residence and a peaceful riverside place showcasing his life, philosophy, and freedom movement.","History/Culture, Photography"
Bangalore Palace,"A Tudor-style palace inspired by England’s Windsor Castle, featuring ornate woodwork and royal artifacts.","Photography, History/Culture"
Howrah Bridge,"A massive cantilever bridge over the Hooghly River, known for its engineering marvel and bustling surroundings."," Photography, Foodie (street food nearby)"
Golden Temple,"The holiest Sikh shrine, famous for its golden façade, reflective water tank, and the world’s largest free kitchen.","History/Culture, Foodie (langar), Photography"
Munnar Tea Gardens,"Endless rolling hills covered with lush tea plantations, misty valleys, and scenic viewpoints.","Photography, Hiking, Foodie (tea tasting)"
Marine Drive,"A 3.6 km sea-facing promenade nicknamed the “Queen’s Necklace,” stunning at sunset and great for night views.","Photography, Nightlife, Foodie"
Victoria Memorial,"A beautiful white marble monument dedicated to Queen Victoria, surrounded by gardens and a museum.","Photography, History/Culture"
Mehrangarh Fort,"One of India’s largest forts, towering above the Blue City with palaces, courtyards, and panoramic desert views.","Photography, History/Culture, Shopping"
Meenakshi Amman Temple,"A massive Dravidian-style temple with colorful gopurams, intricate sculptures, and deep religious significance.","Photography, History/Culture, Foodie"
Basilica of Bom Jesus,"A UNESCO church housing the preserved remains of St. Francis Xavier, known for elegant Baroque architecture.","Photography, History/Culture"
Khajuraho Group of Monuments,Famous temples known for intricate erotic sculptures and stunning Nagara-style architecture.,"Photography, History/Culture"
Solang Valley,"A popular adventure destination offering paragliding, skiing, ATV rides, and breathtaking mountain views.","Adventure Sports, Photography, Hiking"
Laxman Jhula,"A famous suspension bridge over the Ganga River, offering scenic views and access to spiritual retreats.","Photography, Hiking, Foodie, Adventure Sports"
Taj Mahal,"A symbol of love, this white marble mausoleum is world-famous for its symmetry, carvings, and reflective pools.","Photography, History/Culture, Shopping"
Charminar,"A historic 16th-century monument with four arches, bustling bazaars, and rich Islamic architecture.","Photography, History/Culture, Foodie, Shopping"
Statue of Unity,"The world’s tallest statue, dedicated to Sardar Vallabhbhai Patel, offering viewing galleries and laser shows.","Photography, History/Culture"
Jagannath Temple,An ancient Hindu temple famous for the Rath Yatra festival and its deep spiritual significance.,"Photography, History/Culture, Foodie"
Dal Lake,"Known for houseboats, shikara rides, and floating markets amid the Himalayan landscape.","Photography, Foodie, Adventure Sports (shikara/boating)"
Mysore Palace,"A grand Indo-Saracenic palace illuminated by 100,000+ lights every Sunday, known for its royal heritage.","Photography, History/Culture, Shopping"
Shaniwar Wada,"A historic fortification of the Peshwas, remembered for its majestic gates and legendary stories.","Photography, History/Culture"
Mahakaleshwar Jyotirlinga,"One of the twelve Jyotirlingas, known for its sacred Bhasma Aarti and deep religious importance.","Photography, History/Culture, Foodie"
Kamakhya Temple,"A unique Shakti Peeth temple atop Nilachal Hill, known for its mystical rituals and religious traditions.","Photography, History/Culture"
